Dagsetning,LSH_Smit,IE_Smit,Ny_Smit,Smit_Samtals,Dauðsföll,Dauðsföll_Samtals,Batnað,Batnað_Samtals,Removed_Samtals,Virk_Smit,Breyting_Virk_Smit
2020-02-27,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,1,0,1,1,0,0,0,0,0,1,1
2020-02-29,0,0,0,1,0,0,0,0,0,1,0
2020-03-01,3,0,3,4,0,0,0,0,0,4,3
2020-03-02,6,0,6,10,0,0,0,0,0,10,6
2020-03-03,5,0,5,15,0,0,0,0,0,15,5
2020-03-04,14,0,14,29,0,0,0,0,0,29,14
2020-03-05,8,0,8,37,0,0,0,0,0,37,8
2020-03-06,10,0,10,47,0,0,0,0,0,47,10
2020-03-07,7,0,7,54,0,0,0,0,0,54,7
2020-03-08,5,0,5,59,0,0,0,0,0,59,5
2020-03-09,9,0,9,68,0,0,0,0,0,68,9
2020-03-10,14,0,14,82,0,0,0,0,0,82,14
2020-03-11,24,0,24,106,0,0,0,0,0,106,24
2020-03-12,16,0,16,122,0,0,0,0,0,122,16
2020-03-13,20,0,20,142,0,0,0,0,0,142,20
2020-03-14,24,0,24,166,0,0,2,2,2,164,22
2020-03-15,11,9,20,186,0,0,1,3,3,183,19
2020-03-16,15,10,25,211,0,0,4,7,7,204,21
2020-03-17,48,5,53,264,0,0,4,11,11,253,49
2020-03-18,70,8,78,342,0,0,9,20,20,322,69
2020-03-19,61,16,77,419,0,0,5,25,25,394,72
2020-03-20,59,1,60,479,0,0,11,36,36,443,49
2020-03-21,89,2,91,570,0,0,3,39,39,531,88
2020-03-22,22,0,22,592,0,0,2,41,41,551,20
2020-03-23,67,0,67,659,0,0,13,54,54,605,54
2020-03-24,104,2,106,765,1,1,9,63,64,701,96
2020-03-25,40,2,42,807,0,1,16,79,80,727,26
2020-03-26,81,6,87,894,0,1,15,94,95,799,72
2020-03-27,67,3,70,964,0,1,18,112,113,851,52
2020-03-28,54,2,56,1020,0,1,13,125,126,894,43
2020-03-29,61,5,66,1086,0,1,19,144,145,941,47
2020-03-30,49,2,51,1137,0,1,34,178,179,958,17
2020-03-31,72,11,83,1220,0,1,50,228,229,991,33
2020-04-01,93,6,99,1319,2,3,42,270,273,1046,55
2020-04-02,40,5,45,1364,0,3,44,314,317,1047,1
2020-04-03,34,20,54,1418,0,3,82,396,399,1019,-28
2020-04-04,60,10,70,1488,0,3,32,428,431,1057,38
2020-04-05,59,15,74,1562,1,4,,,,,
