Dagsetning,LSH_Smit,IE_Smit,Ny_Smit,Smit_Samtals,Dauðsföll,Dauðsföll_Samtals,Batnað,Batnað_Samtals,Removed_Samtals,Virk_Smit,Breyting_Virk_Smit,Inniliggjandi,Gjorgaesla,Spitali_Samtals,Gjorgaesla_Samtals,LSH_Syni,LSH_Hlutf_Jakvaett,IE_Syni,IE_Hlutf_Jakvaett,Samtals_Syni,Samtals_Hlutf_Jakvaett,Hlutf_Sottkvi,Fjoldi_Sottkvi
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,0
2020-02-28,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,13,0.077,0,0,13,0.077,0,0
2020-02-29,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,32,0,0,0,32,0,0,0
2020-03-01,3,0,3,4,0,0,0,0,0,4,3,1,0,1,0,22,0.136,0,0,22,0.136,0.33,1
2020-03-02,6,0,6,10,0,0,0,0,0,10,6,0,0,1,0,48,0.125,0,0,48,0.125,0,0
2020-03-03,5,0,5,15,0,0,0,0,0,15,5,0,0,1,0,45,0.111,0,0,45,0.111,0,0
2020-03-04,14,0,14,29,0,0,0,0,0,29,14,0,0,1,0,81,0.173,0,0,81,0.173,0.36,5
2020-03-05,8,0,8,37,0,0,0,0,0,37,8,1,0,2,0,62,0.129,0,0,62,0.129,0.75,6
2020-03-06,10,0,10,47,0,0,0,0,0,47,10,1,0,2,0,57,0.175,0,0,57,0.175,0.8,8
2020-03-07,7,0,7,54,0,0,0,0,0,54,7,1,0,2,0,58,0.121,0,0,58,0.121,0.71,5
2020-03-08,5,0,5,59,0,0,0,0,0,59,5,1,0,2,0,37,0.135,0,0,37,0.135,0,0
2020-03-09,9,0,9,68,0,0,0,0,0,68,9,1,0,2,0,98,0.092,0,0,98,0.092,0.44,4
2020-03-10,14,0,14,82,0,0,0,0,0,82,14,0,0,2,0,169,0.083,0,0,169,0.083,0.36,5
