Dagsetning,Inniliggjandi,Gjorgaesla,Utskrifadir_Spitali_Samtals,Spitali_Samtals,Gjorgaesla_Samtals
2020-03-07,0,0,0,0,
2020-03-08,0,0,0,0,
2020-03-09,1,0,0,1,
2020-03-10,1,0,0,1,
2020-03-11,0,0,0,0,
2020-03-12,2,0,0,2,
2020-03-13,2,0,0,2,
2020-03-14,2,1,0,2,
2020-03-15,3,1,2,5,
2020-03-16,3,2,3,6,
2020-03-17,4,2,3,7,
2020-03-18,5,2,3,8,
2020-03-19,7,1,3,10,
2020-03-20,6,1,4,10,
2020-03-21,12,1,4,16,
2020-03-22,14,1,4,18,
2020-03-23,13,0,7,20,
2020-03-24,11,2,12,23,
2020-03-25,15,2,11,26,
2020-03-26,17,3,15,32,
2020-03-27,18,6,17,35,11
2020-03-28,19,6,19,38,11
2020-03-29,25,9,21,46,14
2020-03-30,30,10,22,52,15
2020-03-31,35,11,23,58,17
2020-04-01,40,11,26,66,19
2020-04-02,42,11,27,69,21
2020-04-03,43,11,30,73,21
2020-04-04,42,11,39,81,21
2020-04-05,38,12,43,81,22
